"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"0","None","","","2002-01","","","JB-13","","","","","29 May 2002","","","Co-Op News Bulletins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Co-Coordinator Shani Pearson Seton Annex 3A","","","","","None","","","Summer 1999 to Winter 2000","","","","None","","","","","Co-operative Education","","","",""
"1","None","","","2002-02","","","IC-16","","","","","June 10, 2002","","","Library Award Papers 2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library, Terrence Paris, Head Librarian","","","","","None","","","2001","","","","None","","","","","Library","","","",""
"2","RESTRICTED - consult Secretary of Senate","","","2002-03","","","Unit A, Bay 3, Shelf 6","","","","","July 23, 2002","","","Senate Executive: Correspondence; agendas; meetings, background material 1991-1992 (31 Folders), includes some copies of Senate minutes for 1991 and 1992)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Senate Office, Wendy Johnson","","","","","None","","","1991-1992","","","","None","","","","","Senate","","","",""
"3","None","","","2002-04","","","Artifacts Cabinet #3","","","","","2002","","","Silver medal of excellence given to Annette Theriault of MSVU by the Premier of New Brunswick in 1939.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1939","","","","None","","","","","Annette Theriault","","","",""
"4","None","","","2002-05","","","EB under Nevo, Denise","","","","","2002","","","Bulletin/Newsletter of the Canadian Association of Translation Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","2002","","","","None","","","","","Faculty Writings","","","",""
"5","None","","","2002-06","","","Unit A, Bay 1, Shelf 1 is location of Timetable
Constitution moved to MSVU Publications shelf, publications box 1","","","","","18 September 2002","","","Constitution of the Student Government Association and a timetable from the 1940s belonging to Patsy MacIntyre.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dr. Jane Gordon","","","","","None","","","1940s","","","","Patsy MacIntyre attended the Mount for one year in approximately 1940, possibly taking the Secretarial degree.  She was from Moncton, NB.","","","","","None","","","",""
"6","None","","","2002-07","","","Unit B, Bay 3, Shelf 5","","","","","2002","","","Two copies of ""Proposal re Changes to Bachelor of Education and Certificate Programs"" and Proposal re Changes to Graduate Education Programs""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Education","","","","","None","","","30 May 1995","","","","Was in box JA-15","","","","","Education","","","",""
"7","None","","","2002-08","","","Unit E, Bay 4, Shelf 7","","","","","2002","","","""Discussion Paper"" of the Distance Education Stakeholders Forum held at Nova Scotia Agricultural College, Truro, Nova Scotia,  May 27 and 28, 2002, by Bonnie Waddell, Chair, Novanet Distance Education Working Group, Marnie Macgillivray the member from teh Mount.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Novanet Distance Education Working Group","Mount Saint Vincent University Library","","","1 file","","","May 2002","","","","None","","","","","Library","","","",""
"8","Consult Senate Secretary or FOIPOP Officer","","","2002-09","","","Unit A, Bay 4, Shelf 2","","","","","2002","","","","Files from Senate including:","Library Committee, Minutes and agenda, 1991-1992","","","","","","","","","","","Nominations Committee, Minutes, 1970, 1990-1992","","","","","","","","","","","Research and Publications Committee, Minutes, 1989-1990 (possible dups)","","","","","","","","","","","Computer advisory Committee Minutes, 1990","","","","","","","","","","","Committee on Academic Policy and Planning, Minutes, 1991-1992","","","","","","","","","","","Executive Committee, Tributes Committee, 1991 Minutes and background documents, 1979-1983, 1996","","","","","","","Senate","","","","","None","","","1989-1992","","","","None","","","","","Senate","","","",""
"9","None","","","2002-10","","","Unit E, Bay 2, Shelf 6","","","","","December 2002","","","Publication of the E. Margaret Fulton Lectures:  opening of EMF Centre): The Making of the Educated Class by Thelma McCormack; Canadian Universities and the Poor Countries: Beyond Partnership by Maureen O'Neil; The Unique contributions of Canada's Small Universities by Paul Leduc; and The Woman's Voice in the Library: toward a New Communications Centre by E. Margaret Fulton.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","4 folders","","","1989","","","","FC-31","","","","","E. Margaret Fulton Lectures","","","",""
"10","None","","","2002-11","","","Unit E, Bay 4, Shelf 7","","","","","December 2002","","","Memos written and collective agreements used by the Committee on the Appointment and promotion of librarians","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","1 binder","","","1978-1984","","","","None","","","","","Library","","","",""
"11","None","","","2002-12","","","Unit C, Bay 5, Shelf 1","","","","","December 2002","","","Faculty Manual that belonged to L. Bianchini","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","1 file folder","","","1980-1987","","","","CC-14","","","","","Faculty Association","","","",""
"12","None","","","2002-13","","","Box 21 (was BA-10), Folder #25","","","","","December 2002","","","Dean's List 2001-2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","2001-2002","","","","None","","","","","None","","","",""
"13","None","","","2002-14","","","Faculty Writings","","","","","December 2002","","","A History of Dramatic Copyright and Performance rights in Canada to 1924 by Patrick O'Neill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","ca. 2002","","","","None","","","","","Faculty Writings","","","",""
"14","None","","","2002-15","","","Convocation Programs","","","","","December 2002","","","Convocation program October 20, 2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","October 2002","","","","FA-45","","","","","Convocation Programs","","","",""
"15","None","","","2002-16","","","Faculty Writings, Denise Nevo","","","","","December 2002","","","An Autobiography of Nathan Nevo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Denise Nevo, Faculty","","","","","None","","","2002","","","","None","","","","","Faculty Writings","","","",""
"16","None","","","2002-17","","","Unit H, Bay 3, Shelf 3","","","","","November 2002","","","Colour photographs and slides of the Lesbian Pulp Fiction collection book covers.  Used in creating website accessed at http://www.msvu.ca/english/pulp/index.html on 16 December 2002.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","1998","","","","None","","","","","Library","","","",""
"17","None","","","2002-18","","","Photograph collection, Cabinet #1","","","","","9 December 2002","","","Photographs, b&w, of Theresa L. Ready and Geraldine Ready Coughlan, who attended MSVU in 1919 and 1920.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Peter Maher, son of Theresa Ready, alumni
52 Elm Park Rd., St. Stephen, NB, E3L 2W8
(506) 466-3145, pgmaher@nb.sympatico.ca","","","","","None","","","1919-1920, one copy of a photograph made in 2002","","","","Loose photographs were taken from a photo album which for the most part remains in the custody of the donor.  Accession includes one copy of a print that the donor was unable to remove from the album.","","","","","Theresa L. Ready","","","",""
"18","None","","","2002-19","","","Unit B, Bay 3, Shelf 6","","","","","November 2002","","","","Menu and description of the retirement of A. Murphy in 1992, including her curriculum vitae and slides","1982 programme for the presentation of the NSDA Merit Award to Alleyne Travis Murphy, Professor of Home Economics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Margaret Bateman Ellison, Housing and Facility Management","","","","","None","","","1992","","","","Some of this stuff has come in new, some was already in the collection, but it is impossible to tell which is which.
From box JA-35","","","","","None","","","",""
"19","None","","","2002-20","","","EC reports","","","","","November 2002","","","Final Report Breast Health Coalition of Mount Saint Vincent University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Student Affairs","","","","","None","","","May 2001","","","","None","","","","","Student Affairs","","","",""
"20","None","","","2002-21","","","Unit C, Bay 5, Shelf 1","","","","","November 2002","","","Full-Time Faculty Handbook 2000-2001; 2001-2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Faculty Association","","","","","1 file folder","","","2000-2002","","","","CC-14","","","","","Faculty Association","","","",""
"21","None","","","2002-22","","","Unit C, Bay 5, Shelf 1","","","","","November 2002","","","Memorial service bulletin for Margaret O'Brien, PhD, b. April 14, 1948, d. September 28, 1998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 bulletin","","","September 1998","","","","CC-17","","","","","Faculty Association","","","",""
"22","None","","","2002-23","","","Unit C, Bay 5, Shelf 1","","","","","November 2002","","","A memorial card for Paul Wilfred McIsaac, 1943-1977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jean Frost, secretary, English Department","","","","","1 file folder","","","1977","","","","CC-17","","","","","Faculty Association","","","",""
"23","None","","","2002-24","","","Unit C, Bay 5, Shelf 1","","","","","November 2000","","","Ode to a Premium Lady - eulogy of Dorothy Mary Lampard, b. 16 September 1911, d. 3 December 1994, including a list of her publications.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nephew of faculty","","","","","1 file folder","","","1994","","","","CC-17","","","","","Faculty Association","","","",""
"24","None","","","2002-25","","","HC","","","","","10 December 2002","","","Folio Montana, 1922","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mount Saint Vincent Motherhouse archives","","","","","None","","","1922 (photocopied 2002)","","","","None","","","","","None","","","",""
"25","None","","","2002-26","","","Unit E, Bay 4, Shelf 7","","","","","2002","","","Novanet Distance Education Stakeholders Forum program
Proceedings Novanet Distance Education Stakeholder's Forum, May 27-28, 2002, compiled by Bonnie R. Waddell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","1 folder","","","May 27-28, 2002","","","","None","","","","","Library","","","",""
"26","None","","","2002-27","","","Unit B, Bay 3, Shelf 6","","","","","November 2002","","","Oral history project online, accessed November 2002, class project, Dr. Katherine Side, professor.  Website was http://www.geocities.com/katherineside/dminterview.html.  Interviews with former students of MSVU including Patsy McIntyre and Joy Madeleine Lake.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","2002","","","","Was in box JA-16","","","","","None","","","",""
"27","None","","","2002-28","","","Faculty writings","","","","","Novmber 2002","","","Stuck up on a Rock:  Resettlement and community development in Hopedale, Labrador, by Barnett Richling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1985","","","","None","","","","","Faculty Writings","","","",""
"28","None","","","2002-29","","","Faculty writings","","","","","November 2002","","","Mental Health in Later Life, by George Gasek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1990","","","","None","","","","","Faculty Writings","","","",""
"29","None","","","2002-30","","","Unit D, Bay 1, Shelf 7","","","","","November 2002","","","List of Students' Union Executive for the 2001/2002 year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Students' Union","","","","","1 file folder","","","September 2001","","","","FA-49","","","","","Students' Union","","","",""
"30","None","","","2002-31","","","Unit C, Bay 5, Shelf 4","","","","","November 2002","","","Policies and procedures from the Board of Governors, re:  Sexual Harassment, AIDS, and retirement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Staff Association","","","","","1 file folder","","","1992","","","","CC 31","","","","","Staff Association","","","",""
"31","None","","","2002-32","","","Unit C, Bay 5, Shelf 4","","","","","November 2002","","","Collective Agreement between Mount Saint Vincent University and Nova Scotia Government Employees Union (Staff Association)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","1 file folder","","","1997-2000","","","","CC 31","","","","","Staff Association","","","",""
"32","None","","","2002-33","","","Unit B, Bay 3, Shelf 7","","","","","November 2002","","","A Guide to Writing Essays and Term Papers, 2nd ed., Department of Sociology and Anthropology, MSVU, 1993","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1993","","","","None","","","","","Sociology and Anthropology","","","",""
"33","None","","","2002-34","","","IC-17","","","","","November 2002","","","Article ""Succeeding against schizophrenia"" about former MSVU library staff.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 16 2000","","","","None","","","","","Library","","","",""
"34","None","","","2003-01","","","Photo collection Cabinet #1","","","","","November 2002","","","Black and white photographs of older adults, all unidentified.   Perhaps part of ""Older Ways:  Traditional Nova Scotian Craftsmen"" photographs by Peter Barss? (MSVU Art Gallery, 1978)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown - Art gallery?","","","","","None","","","ca. 1999","","","","These photos were circulated to Public Affairs, the President's Office, and to the Library, but no one was able to identify them.","","","","","Art Gallery","","","",""
"35","None","","","2003-02","","","Unit D, Bay 5, Shelf 2 to Unit D, Bay 5, Shelf 6","","","","","August 2002","","","Course Outlines
Box 1
1 - Business Administration 1987-88
2 - Child Studies 1987-88
3 - Education 1987-88
4 - Gerontology 1987-88
5 - Home Economics 1987-88
6 - Office Administration 1987-88
7 - Psychology 1987-88
8 - Public Relations 1987-88
9 - Sociology 1987-88
10 - Women's Studies, Tourism 1987-88
11 - Business 1987-88
12 - Course Planning 1987-88

Box 2
1 - Business Administration 1988-89
2 - Child Studies 1988-89
3 - Economics 1988-89
4 - Education 1988-89
5 - Graduate Education 1988-89
6 - Gerontology 1988-89
7 - Home Economics 1988-89
8 - Office Administration 1988-89
9 - Timetables 1988-89
10 - Biology 1988-89
11 - Canadian Studies 1988-89
12 - Chemistry 1988-89
13 - English 1988-89
14 - Fine Arts 1988-89
15 - History 1988-89
16 - Mathematics 1988-89
17 - Modern Language 1988-89
18 - Physics 1988-89
19 - Philosophy 1988-89

Box 3
1 - Political Studies 1988-89
2 - Religious Studies 1988-89
3 - Speech and Drama 1988-89
4 - Memorandums 1989-90
5 - Business 1989-90
6 - Child Studies 1989-90
7 - Economics 1989-90
8 - Education 1989-90
9 - Gerontology 1989-90
10 - Home Economics 1989-90
11 - Office Administration 1989-90
12 - Public Relations 1989-90
13 - Psychology 1989-90
14 - Sociology/Anthropology 1989-90
15 - Tourism 1989-90
16 - Women's Studies 1989-90
17 - Biology 1989-90
18 - Canadian Studies 1989-90
19 - Chemistry 1989-90
20 - English 1989-90
21 - Fine Arts 1989-90
22 - History 1989-90
23 - Mathematics 1989-90
24 - Modern Languages 1989-90
25 - Museum Studies 1989-90
26 - Philosophy 1989-90
27 - Political Studies 1989-90
28 - Religious Studies 1989-90
29 - Speech and Drama 1989-90
30 - Business Administration 1990-91
31 - Business Administration 1990-91

Box 4
1 - Child Studies 1990-91
2 - Economics 1990-91
3 - Education 1990-91
4 - Education 1990-91
5 - Gerontology 1990-91
6 - Home Economics 1990-91
7 - Office Administration 1990-91
8 - Psychology 1990-91
9 - Public Relations 1990-91
10 - Sociology and Anthropology 1990-91
11 - Tourism and Hospitality 1990-91
12 - Women's Studies 1990-91
13 - Modern Languages 1990-91
14 - Philosophy 1990-91
15 - Canadian Studies 1990-91
16 - Political Studies 1990-91
17 - Religious Studies 1990-91
18 - Speech and Drama 1990-91

Box 5
1 - Biology, Chemistry, English (with time table) 1990-91
2 - Fine Arts, History, Math 1990-91
3 - Education 1991-92
4 - Graduate Education, Gerontology 1991-92
5 - Human Ecology 1991-92
6 - Office Administration, Psychology 1991-92
7 - Public Relations, Sociology/Anthropology 1991-92
8 - Tourism/Hospitality, Women's Studies 1991-92
9 - Business Administration (1 of 2) 1991-92
10 - Business Administration (2 of 2) 1991-92
11 - Child Studies, Economics, Biology, Chemistry, Physics 1991-92
12 - English, History 1991-92
13 - Mathematics, Computer Science 1991-92

Box 6
1 - Business Administration (1 of 2) 1992-1993
2 - Business Administration (2 of 2), Child/Youth Studies 1992-93
3 - Economics 1992-93
4 - Education (1 of 2) 1992-93
5 - Education (2 of 2), Gerontology 1992-93
6 - Human Ecology 1992-93
7 - Information Management, Psychology 1992-93
8 - Public Relations, Sociology/Anthropology 1992-93
9 - Tourism/Hospitality, Women's Studies 1992-93
10 - Information Management, Psychology 1993-94
11 - Public Relations 1993-1994
12 - Sociology/Anthropology 1993-94
13 - Tourism/Hospitality, Women's Studies 1993-94
14 - Business Administration 1993-94
15 - Child/Youth Studies 1993-94
16 - Education (1 of 2) 1993-94

Box 7
1 - Education (2 of 2), Gerontology 1993-94
2 - Human Ecology 1993-94
3 - Summer School (1 of 2) 1994
4 - Summer School (2 of 2) 1994
5 - Political/Canadian Studies, Psychology 1994-95
6 - Religious Studies, Sociology/Anthropology 1994-95
7 - Women's Studies, Fine Arts, Speech and Drama 1994-95
8 - Business Administration (1 of 2) 1994-95
9 - Business Administration (2 of 2) 1994-95
10 - Child and Youth Studies 1994-95
11 - Education 1994-95
12 - Gerontology 1994-95
13 - Human Ecology 1994-95
14 - Information Management, Public Relations 1994-95
15 - Tourism/Hospitality, Biology, Chemistry/Physics, Economic 1994-95
16 - English, History 1994-95

Box 8
1 - Math/Computers 1994-95
2 - Modern Languages 1994-95
3 - Philosophy 1994-95
4 - Summer 1995
5 - Modern Languages (French) 1991-92
6 - Philosophy, Political/Canadian Studies, Religious Studies, Speech and Drama, Fine Arts 1991-92
7 - Education 1995 (1 of 3)
8 - Education 1995 (2 of 3)
9 - Education 1995 (3 of 3) (inc. timetable, course notes & workbook)
10 - Home Ecology  1995-96 (1 of 2)
11 - Home Ecology 1995-96 (2 of 2)
12 - Information Management, Public Relations, Tourism/Hospitality 1995-96
13 - Business Administration (1 of 2)
14 - Business Administration (2 of 2) (inc. timetable)
15 - Child/Youth Studies, gerontology 1995-96
16 - Political/Canadian Studies, Psychology 1995-96

Box 9
1 - Religious Studies, Sociology/Anthropology 1995-96
2 - Women's Studies, Fine Arts, Speech and Drama 1995-96
3 - Summer School (1 of 2) 1995-96
4 - Summer School (2 of 2) 1995-96 (inc. timetable)
5 - Biology, Chemistry/Physics, Economics 1995-96 (inc. timetable)
6 - English, History 1995-96
7 - Math/Computers, Modern Languages, Philosophy 1995-96
8 - Education 1996-97
9 - Graduate Education 1996-97
10 - Canadian/Political Studies, Psychology 1996-97
11 - Religion, Sociology/Anthropology 1996-97

 Box 10
1 - Women's Studies, Fine Arts, Speech and Drama 1996-97
2 - Biology, Physics, Economics, English, History 1996-97
3 - Math/Computers, Modern Languages, Philosophy 1996-97
4 - Human Ecology, Graduate Human Ecology 1996-97
5 - Public Relations, Tourism/Hospitality, Information Management 1996-97
6 - Business Administration 1996-97 (1 of 2)
7 - Business Administration 1996-97 (2 of 2)
8 - Summer School 1997 (1 of 2)
9 - Summer School 1997 (2 of 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","10 boxes","","","1987-1997","","","","None","","","","","Deans Office","","","",""
"36","None","","","2003-03","","","Unit D, Bay 2, Shelf 4","","","","","July 2001","","","Minutes of meetings of the MSVU Student Union, by-laws, annual reports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Michelle Landreville, Executive Assistant to the President, cleaning out files - it appears the materials were sent from the Student Union to the President's Office on a regular basis","","","","","4 file folders","","","1965-1970, 1977-1984","","","","FA 62","","","","","Students' Union","","","",""
"37","None","","","2003-04","","","Unit B, Bay 3, Shelf 6","","","","","2002","","","Posters for events hosted by the Nancy's Chair in Women's Studies, and a copy of ad/vice, a magazine to fight the advertising of drugs, a collaboration between the Nancy Chair and the MSVU Art Gallery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nancy's Chair in Women's Studies","","","","","None","","","2001","","","","Was in box JA-16","","","","","Women's Studies","","","",""
"38","None","","","2003-05","","","EC Reports","","","","","11 September 2000","","","""Academic Implications of Disproportionate Funding,"" Mount Saint Vincent University, June 1980 and ""Comparative Study of Grants, Enrollments and Levels of Funding at Mount Saint Vincent University and Other Selected Maritime Universities for the years 1974-1979"" presented to The Maritime Provinces Higher Education Commission, February 1980, prepared on behalf of the Board of Governors by the Office of Assistant to the President (Finance/Planning)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Unknown","","","","","None","","","1980","","","","None","","","","","University Reports","","","",""
"39","None","","","2003-06","","","Unit A, Bay 1, Shelf 4, folder #1","","","","","2002","","","Graduate Women's Learning Support Group Practicum, Report by Nancy K. Maxwell, prepared for Dr. Keane, Education, March 1984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","","None","","","March 1984","","","","None","","","","","None","","","",""
"40","None","","","2003-07","","","Unit C, Bay 5, Shelf 1","","","","","2002","","","Full-Time Faculty  Handbook, Mount Saint Vincent University 1999-2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","","1 file folder","","","1999-2000","","","","CC-14","","","","","Faculty Association","","","",""
"41","None","","","2003-08","","","EB","","","","","May 28 2001","","","""From a Winterly Flight""  by Joyce Tyndall Elliott, an author who received a baccalaureate from Mount Saint Vincent University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Donna, Public Affairs","","","","","None","","","published 1989","","","","None","","","","","None","","","",""
"42","None","","","2003-09","","","Photo cabinet","","","","","January 13, 2003","","","Colour photographs and negatives of the Seton building from the Bedford Highway.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student at MSVU.  To contact donor, Chris Maple, use 445-0709","","","","","None","","","January 5, 2003","","","","Donor likes to take pictures and wants to donate them to the Archives.    He would like to take more pictures of the University buildings and grounds for future donations.  Photographs were developed by Sobeys.","","","","","None","","","",""
"43","None","","","2003-10","","","Unit D, Bay 1, Shelf 3","","","","","2002","","","Information about Mount Saint Vincent University to attract potential students to attend MSVU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","","1 file folder","","","1982","","","","DB-15","","","","","Public Affairs","","","",""
"44","None","","","2003-11","","","Unit D, Bay 1, Shelf 6","","","","","2002","","","MSVU Telephone directory 1995/1996; 1997/1998; 1998/1999; 2000/2001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","","2 file folders","","","1995-2001","","","","FA-33","","","","","","Information Technology and Services","Public Affairs","",""
"45","None","","","2003-12","","","HC","","","","","2001","","","Art Gallery posters for art of James R. Shirley (Feb to April 2000); Africa in a Borderless Cinema (2000); Lily Markiewicz (2002)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Art Gallery","","","","","None","","","2000-2002","","","","None","","","","","Art Gallery","","","",""
"46","None","","","2003-13","","","Unit A, Bay 1, Shelf 7","","","","","7 November 2000","","","Management Development for Women - general files:
$	Advisory Board and minutes - 1993
$	Agreement between MSVU and SMU
$	Brochure info
$	Budgets 1991-1993
$	Candidate profiles 1991-1993
$	Curriculum materials 1991-1992
$	Correspondence
$	CV's and info on start of MDW
$	Demographics 1993-1994
$	Employer focus group
$	General information 1991-1992
$	Prospectus 1992
$	Promotion/Displays/Employer visits/Flyers 1991-1993
$	Receipts 1991-1993
$	Sample Orientation kit
$	Skills profile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Distance Education, Continuing Education, Program Assistant (Tanya Poulton)","","","","","None","","","1991 to 1994","","","","None","","","","","None","","","",""
